,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
25,Wally Pfister,Johnny Depp,Morgan Freeman,Clifton Collins Jr.,Drama Mystery Romance Sci-Fi Thriller,transcendence,Johnny Depp Morgan Freeman Clifton Collins Jr. Wally Pfister Drama Mystery Romance Sci-Fi Thriller
26,Barry Sonnenfeld,Will Smith,Rip Torn,Linda Fiorentino,Adventure Comedy Family Mystery Sci-Fi,men in black,Will Smith Rip Torn Linda Fiorentino Barry Sonnenfeld Adventure Comedy Family Mystery Sci-Fi
27,Robert Zemeckis,Harrison Ford,Amber Valletta,Miranda Otto,Drama Fantasy Horror Mystery Thriller,what lies beneath,Harrison Ford Amber Valletta Miranda Otto Robert Zemeckis Drama Fantasy Horror Mystery Thriller
28,David Fincher,Robin Wright,Goran Visnjic,Joely Richardson,Crime Drama Mystery Thriller,the girl with the dragon tattoo,Robin Wright Goran Visnjic Joely Richardson David Fincher Crime Drama Mystery Thriller
29,Guy Ritchie,Robert Downey Jr.,Eddie Marsan,Robert Maillet,Action Adventure Crime Mystery Thriller,sherlock holmes,Robert Downey Jr. Eddie Marsan Robert Maillet Guy Ritchie Action Adventure Crime Mystery Thriller
30,Rob Minkoff,Marsha Thomason,Rachael Harris,Marc John Jefferies,Comedy Family Fantasy Horror Mystery,the haunted mansion,Marsha Thomason Rachael Harris Marc John Jefferies Rob Minkoff Comedy Family Fantasy Horror Mystery
31,Robert Zemeckis,Matthew McConaughey,Tom Skerritt,Larry King,Drama Mystery Sci-Fi Thriller,contact,Matthew McConaughey Tom Skerritt Larry King Robert Zemeckis Drama Mystery Sci-Fi Thriller
32,Sydney Pollack,Curtiss Cook,George Harris,Michael Wright,Crime Mystery Thriller,the interpreter,Curtiss Cook George Harris Michael Wright Sydney Pollack Crime Mystery Thriller
33,Jon M. Chu,Daniel Radcliffe,Morgan Freeman,Sanaa Lathan,Action Adventure Comedy Crime Mystery Thriller,now you see me 2,Daniel Radcliffe Morgan Freeman Sanaa Lathan Jon M. Chu Action Adventure Comedy Crime Mystery Thriller
34,Paul Greengrass,Matt Damon,Joan Allen,Oksana Akinshina,Action Mystery Thriller,the bourne supremacy,Matt Damon Joan Allen Oksana Akinshina Paul Greengrass Action Mystery Thriller
35,unknown,Caroline Dhavernas,Scott Thompson,Hettienne Park,Crime Drama Horror Mystery Thriller,hannibalÃÂ            ,Caroline Dhavernas Scott Thompson Hettienne Park unknown Crime Drama Horror Mystery Thriller
36,Daniel Espinosa,Denzel Washington,Ryan Reynolds,Sam Shepard,Action Crime Mystery Thriller,safe house,Denzel Washington Ryan Reynolds Sam Shepard Daniel Espinosa Action Crime Mystery Thriller
37,Tony Scott,Will Smith,Jake Busey,Lisa Bonet,Action Crime Drama Mystery Thriller,enemy of the state,Will Smith Jake Busey Lisa Bonet Tony Scott Action Crime Drama Mystery Thriller
38,Neil Burger,Kate Winslet,Theo James,Mekhi Phifer,Adventure Mystery Sci-Fi,divergent,Kate Winslet Theo James Mekhi Phifer Neil Burger Adventure Mystery Sci-Fi
39,Raja Gosnell,Sarah Michelle Gellar,Linda Cardellini,Miguel A. NÃÂºÃÂ±ez Jr.,Adventure Comedy Mystery,scooby-doo,Sarah Michelle Gellar Linda Cardellini Miguel A. NÃÂºÃÂ±ez Jr. Raja Gosnell Adventure Comedy Mystery
40,David Fincher,Robert Downey Jr.,Jake Gyllenhaal,Anthony Edwards,Crime Drama History Mystery Thriller,zodiac,Robert Downey Jr. Jake Gyllenhaal Anthony Edwards David Fincher Crime Drama History Mystery Thriller
41,Roger Spottiswoode,Robert Duvall,Michael Rapaport,Tony Goldwyn,Action Mystery Sci-Fi Thriller,the 6th day,Robert Duvall Michael Rapaport Tony Goldwyn Roger Spottiswoode Action Mystery Sci-Fi Thriller
42,Martin Scorsese,Leonardo DiCaprio,Joseph Sikora,Nellie Sciutto,Mystery Thriller,shutter island,Leonardo DiCaprio Joseph Sikora Nellie Sciutto Martin Scorsese Mystery Thriller
43,D.J. Caruso,Rosario Dawson,Ethan Embry,Cameron Boyce,Action Mystery Thriller,eagle eye,Rosario Dawson Ethan Embry Cameron Boyce D.J. Caruso Action Mystery Thriller
44,Jan de Bont,Liam Neeson,Lili Taylor,Virginia Madsen,Fantasy Horror Mystery Thriller,the haunting,Liam Neeson Lili Taylor Virginia Madsen Jan de Bont Fantasy Horror Mystery Thriller
45,Shawn Levy,Roger Rees,Henry Czerny,William Abadie,Adventure Comedy Crime Family Mystery,the pink panther,Roger Rees Henry Czerny William Abadie Shawn Levy Adventure Comedy Crime Family Mystery
46,Richard Donner,Julia Roberts,Alex McArthur,Michael Potts,Action Crime Mystery Romance Thriller,conspiracy theory,Julia Roberts Alex McArthur Michael Potts Richard Donner Action Crime Mystery Romance Thriller
47,Jonathan Demme,Denzel Washington,Dorian Missick,Jose Pablo Cantillo,Drama Mystery Sci-Fi Thriller,the manchurian candidate,Denzel Washington Dorian Missick Jose Pablo Cantillo Jonathan Demme Drama Mystery Sci-Fi Thriller
48,Lucile Hadzihalilovic,Nissim Renard,Roxane Duran,Julie-Marie Parmentier,Drama Horror Mystery Sci-Fi,evolution,Nissim Renard Roxane Duran Julie-Marie Parmentier Lucile Hadzihalilovic Drama Horror Mystery Sci-Fi
49,Renny Harlin,James D'Arcy,Alan Ford,Izabella Scorupco,Horror Mystery Thriller,exorcist: the beginning,James D'Arcy Alan Ford Izabella Scorupco Renny Harlin Horror Mystery Thriller
50,Louis Leterrier,Morgan Freeman,Common,Michael Kelly,Crime Mystery Thriller,now you see me,Morgan Freeman Common Michael Kelly Louis Leterrier Crime Mystery Thriller
51,unknown,Adam Arkin,Brent Sexton,Damian Lewis,Crime Drama Mystery,lifeÃÂ            ,Adam Arkin Brent Sexton Damian Lewis unknown Crime Drama Mystery
52,Gil Kenan,Steve Buscemi,Jon Heder,Catherine O'Hara,Animation Comedy Family Fantasy Mystery,monster house,Steve Buscemi Jon Heder Catherine O'Hara Gil Kenan Animation Comedy Family Fantasy Mystery
53,Florent-Emilio Siri,Jimmy Bennett,Bruce Willis,Ransford Doherty,Action Crime Drama Mystery Thriller,hostage,Jimmy Bennett Bruce Willis Ransford Doherty Florent-Emilio Siri Action Crime Drama Mystery Thriller
54,M. Night Shyamalan,Robin Wright,Bruce Willis,Michael Kelly,Drama Mystery Sci-Fi Thriller,unbreakable,Robin Wright Bruce Willis Michael Kelly M. Night Shyamalan Drama Mystery Sci-Fi Thriller
55,Brian De Palma,Nicolas Cage,Mike Starr,John Heard,Crime Mystery Thriller,snake eyes,Nicolas Cage Mike Starr John Heard Brian De Palma Crime Mystery Thriller
56,Barry Levinson,Peter Coyote,James Pickens Jr.,Huey Lewis,Drama Mystery Sci-Fi Thriller,sphere,Peter Coyote James Pickens Jr. Huey Lewis Barry Levinson Drama Mystery Sci-Fi Thriller
57,M. Night Shyamalan,Bryce Dallas Howard,Judy Greer,William Hurt,Drama Mystery Romance Thriller,the village,Bryce Dallas Howard Judy Greer William Hurt M. Night Shyamalan Drama Mystery Romance Thriller
58,unknown,Nicole Beharie,Katia Winter,Lyndie Greenwood,Adventure Drama Fantasy Mystery Thriller,sleepy hollowÃÂ            ,Nicole Beharie Katia Winter Lyndie Greenwood unknown Adventure Drama Fantasy Mystery Thriller
59,Cameron Crowe,Tom Cruise,Ivana Milicevic,Noah Taylor,Fantasy Mystery Romance Sci-Fi Thriller,vanilla sky,Tom Cruise Ivana Milicevic Noah Taylor Cameron Crowe Fantasy Mystery Romance Sci-Fi Thriller
60,M. Night Shyamalan,Bryce Dallas Howard,Freddy RodrÃÂ­guez,Bob Balaban,Drama Fantasy Mystery Thriller,lady in the water,Bryce Dallas Howard Freddy RodrÃÂ­guez Bob Balaban M. Night Shyamalan Drama Fantasy Mystery Thriller
61,Michael Mann,Chris Hemsworth,Archie Kao,Brandon Molale,Action Crime Drama Mystery Thriller,blackhat,Chris Hemsworth Archie Kao Brandon Molale Michael Mann Action Crime Drama Mystery Thriller
62,Kerry Conran,Angelina Jolie Pitt,Laurence Olivier,Bai Ling,Action Adventure Mystery Sci-Fi Thriller,sky captain and the world of tomorrow,Angelina Jolie Pitt Laurence Olivier Bai Ling Kerry Conran Action Adventure Mystery Sci-Fi Thriller
63,Michael Caton-Jones,Charlotte Rampling,Indira Varma,Neil Maskell,Crime Mystery Thriller,basic instinct 2,Charlotte Rampling Indira Varma Neil Maskell Michael Caton-Jones Crime Mystery Thriller
64,Mikael HÃÂ¥fstrÃÂ¶m,Sylvester Stallone,50 Cent,Matt Gerald,Action Crime Mystery Sci-Fi Thriller,escape plan,Sylvester Stallone 50 Cent Matt Gerald Mikael HÃÂ¥fstrÃÂ¶m Action Crime Mystery Sci-Fi Thriller
65,Rob Bowman,Martin Landau,Mitch Pileggi,Jeffrey DeMunn,Drama Mystery Sci-Fi Thriller,the x files,Martin Landau Mitch Pileggi Jeffrey DeMunn Rob Bowman Drama Mystery Sci-Fi Thriller
66,Stanley Kubrick,Tom Cruise,Vinessa Shaw,Sydney Pollack,Drama Mystery Thriller,eyes wide shut,Tom Cruise Vinessa Shaw Sydney Pollack Stanley Kubrick Drama Mystery Thriller
67,Renny Harlin,Melina Kanakaredes,Craig Bierko,Yvonne Zima,Action Crime Drama Mystery Thriller,the long kiss goodnight,Melina Kanakaredes Craig Bierko Yvonne Zima Renny Harlin Action Crime Drama Mystery Thriller
68,unknown,Jason Flemyng,James Nesbitt,Frances O'Connor,Crime Drama Mystery,the missingÃÂ            ,Jason Flemyng James Nesbitt Frances O'Connor unknown Crime Drama Mystery
69,Sydney Pollack,Harrison Ford,Kristin Scott Thomas,Bill Cobbs,Drama Mystery Romance,random hearts,Harrison Ford Kristin Scott Thomas Bill Cobbs Sydney Pollack Drama Mystery Romance
70,Quentin Tarantino,Craig Stark,Jennifer Jason Leigh,ZoÃÂ« Bell,Crime Drama Mystery Thriller Western,the hateful eight,Craig Stark Jennifer Jason Leigh ZoÃÂ« Bell Quentin Tarantino Crime Drama Mystery Thriller Western
71,Frank Darabont,Tom Hanks,Jeffrey DeMunn,Michael Jeter,Crime Drama Fantasy Mystery,the green mile,Tom Hanks Jeffrey DeMunn Michael Jeter Frank Darabont Crime Drama Fantasy Mystery
72,David Fincher,Patrick Fugit,Sela Ward,Emily Ratajkowski,Crime Drama Mystery Thriller,gone girl,Patrick Fugit Sela Ward Emily Ratajkowski David Fincher Crime Drama Mystery Thriller
73,Doug Liman,Matt Damon,Josh Hamilton,Nicky NaudÃÂ©,Action Mystery Thriller,the bourne identity,Matt Damon Josh Hamilton Nicky NaudÃÂ© Doug Liman Action Mystery Thriller
74,Simon West,Daniel von Bargen,Timothy Hutton,Clarence Williams III,Drama Mystery Thriller,the general's daughter,Daniel von Bargen Timothy Hutton Clarence Williams III Simon West Drama Mystery Thriller
75,John Woo,Ivana Milicevic,Joe Morton,Callum Rennie,Action Mystery Sci-Fi Thriller,paycheck,Ivana Milicevic Joe Morton Callum Rennie John Woo Action Mystery Sci-Fi Thriller
76,Antoine Fuqua,Tate Donovan,Ned Beatty,Louis Ferreira,Action Crime Drama Mystery Thriller,shooter,Tate Donovan Ned Beatty Louis Ferreira Antoine Fuqua Action Crime Drama Mystery Thriller
77,Kevin Macdonald,Robin Wright,Harry Lennix,Michael Weston,Crime Drama Mystery Thriller,state of play,Robin Wright Harry Lennix Michael Weston Kevin Macdonald Crime Drama Mystery Thriller
78,Martin Campbell,Bojana Novakovic,Ray Winstone,Denis O'Hare,Crime Drama Mystery Thriller,edge of darkness,Bojana Novakovic Ray Winstone Denis O'Hare Martin Campbell Crime Drama Mystery Thriller
79,Peter Hyams,John Kapelos,Penelope Ann Miller,Chi Muoi Lo,Horror Mystery Sci-Fi Thriller,the relic,John Kapelos Penelope Ann Miller Chi Muoi Lo Peter Hyams Horror Mystery Sci-Fi Thriller
80,Jon Avnet,Robert De Niro,Al Pacino,50 Cent,Action Crime Drama Mystery Thriller,righteous kill,Robert De Niro Al Pacino 50 Cent Jon Avnet Action Crime Drama Mystery Thriller
81,Tom Shadyac,Joe Morton,Susanna Thompson,Matt Craven,Drama Fantasy Mystery Romance Thriller,dragonfly,Joe Morton Susanna Thompson Matt Craven Tom Shadyac Drama Fantasy Mystery Romance Thriller
82,Brian De Palma,Scarlett Johansson,Mia Kirshner,Mike Starr,Crime Drama Mystery Thriller,the black dahlia,Scarlett Johansson Mia Kirshner Mike Starr Brian De Palma Crime Drama Mystery Thriller
83,Akiva Goldsman,Matt Bomer,William Hurt,Kevin Corrigan,Drama Fantasy Mystery Romance,winter's tale,Matt Bomer William Hurt Kevin Corrigan Akiva Goldsman Drama Fantasy Mystery Romance
84,Harald Zwart,Aidan Turner,Kevin Zegers,CCH Pounder,Fantasy Horror Mystery Romance,the mortal instruments: city of bones,Aidan Turner Kevin Zegers CCH Pounder Harald Zwart Fantasy Horror Mystery Romance
85,David Koepp,Johnny Depp,Olivia Munn,Ulrich Thomsen,Action Comedy Mystery Romance,mortdecai,Johnny Depp Olivia Munn Ulrich Thomsen David Koepp Action Comedy Mystery Romance
86,Taylor Hackford,Keanu Reeves,Al Pacino,Charlize Theron,Drama Mystery Thriller,the devil's advocate,Keanu Reeves Al Pacino Charlize Theron Taylor Hackford Drama Mystery Thriller
87,Robert Schwentke,Erika Christensen,Michael Irby,Haley Ramm,Drama Mystery Thriller,flightplan,Erika Christensen Michael Irby Haley Ramm Robert Schwentke Drama Mystery Thriller
88,Clint Eastwood,Angelina Jolie Pitt,Michael Kelly,Colm Feore,Crime Drama Mystery Thriller,changeling,Angelina Jolie Pitt Michael Kelly Colm Feore Clint Eastwood Crime Drama Mystery Thriller
89,Jean-Pierre Jeunet,Denis Lavant,AndrÃÂ© Dussollier,Albert Dupontel,Drama Mystery Romance War,a very long engagement,Denis Lavant AndrÃÂ© Dussollier Albert Dupontel Jean-Pierre Jeunet Drama Mystery Romance War
90,Jim Gillespie,Sylvester Stallone,Tom Berenger,Charles S. Dutton,Crime Horror Mystery Thriller,eye see you,Sylvester Stallone Tom Berenger Charles S. Dutton Jim Gillespie Crime Horror Mystery Thriller
91,Don Bluth,Kirsten Dunst,Kelsey Grammer,Bernadette Peters,Adventure Animation Drama Family Fantasy Musical Mystery Romance,anastasia,Kirsten Dunst Kelsey Grammer Bernadette Peters Don Bluth Adventure Animation Drama Family Fantasy Musical Mystery Romance
92,Harold Becker,Steve Buscemi,Teri Polo,Matt O'Leary,Crime Mystery Thriller,domestic disturbance,Steve Buscemi Teri Polo Matt O'Leary Harold Becker Crime Mystery Thriller
93,J.J. Abrams,Joel Courtney,AJ Michalka,Zach Mills,Mystery Sci-Fi Thriller,super 8,Joel Courtney AJ Michalka Zach Mills J.J. Abrams Mystery Sci-Fi Thriller
94,Spike Lee,Denzel Washington,James Ransone,Peter Gerety,Crime Drama Mystery Thriller,inside man,Denzel Washington James Ransone Peter Gerety Spike Lee Crime Drama Mystery Thriller
95,Frank Marshall,Dylan Walsh,Joe Don Baker,Grant Heslov,Action Adventure Mystery Sci-Fi,congo,Dylan Walsh Joe Don Baker Grant Heslov Frank Marshall Action Adventure Mystery Sci-Fi
96,Alex Proyas,Nicolas Cage,Ben Mendelsohn,Chandler Canterbury,Drama Mystery Sci-Fi Thriller,knowing,Nicolas Cage Ben Mendelsohn Chandler Canterbury Alex Proyas Drama Mystery Sci-Fi Thriller
97,Hideo Nakata,Naomi Watts,Gary Cole,Sissy Spacek,Horror Mystery,the ring two,Naomi Watts Gary Cole Sissy Spacek Hideo Nakata Horror Mystery
98,Jaume Collet-Serra,Liam Neeson,Nate Parker,Scoot McNairy,Action Mystery Thriller,non-stop,Liam Neeson Nate Parker Scoot McNairy Jaume Collet-Serra Action Mystery Thriller
99,Gary Fleder,Oliver Platt,Jennifer Esposito,Conrad Goode,Crime Drama Mystery Thriller,don't say a word,Oliver Platt Jennifer Esposito Conrad Goode Gary Fleder Crime Drama Mystery Thriller
100,David Fincher,Deborah Kara Unger,Armin Mueller-Stahl,Charles Martinet,Drama Mystery Thriller,the game,Deborah Kara Unger Armin Mueller-Stahl Charles Martinet David Fincher Drama Mystery Thriller
101,Christophe Gans,Radha Mitchell,Deborah Kara Unger,Alice Krige,Adventure Horror Mystery,silent hill,Radha Mitchell Deborah Kara Unger Alice Krige Christophe Gans Adventure Horror Mystery
102,F. Gary Gray,Kevin Spacey,Michael Cudlitz,Siobhan Fallon Hogan,Action Crime Drama Mystery Thriller,the negotiator,Kevin Spacey Michael Cudlitz Siobhan Fallon Hogan F. Gary Gray Action Crime Drama Mystery Thriller
103,unknown,David Jason,Bruce Alexander,John Lyons,Crime Drama Mystery,a touch of frostÃÂ            ,David Jason Bruce Alexander John Lyons unknown Crime Drama Mystery
104,John McTiernan,Connie Nielsen,Harry Connick Jr.,Tim Daly,Action Crime Drama Mystery Thriller,basic,Connie Nielsen Harry Connick Jr. Tim Daly John McTiernan Action Crime Drama Mystery Thriller
105,Clint Eastwood,Clint Eastwood,Anjelica Huston,Rick Hoffman,Action Crime Drama Mystery Thriller,blood work,Clint Eastwood Anjelica Huston Rick Hoffman Clint Eastwood Action Crime Drama Mystery Thriller
106,Tom Tykwer,Naomi Watts,BrÃÂ­an F. O'Byrne,Armin Mueller-Stahl,Action Crime Drama Mystery Thriller,the international,Naomi Watts BrÃÂ­an F. O'Byrne Armin Mueller-Stahl Tom Tykwer Action Crime Drama Mystery Thriller
107,unknown,Grey Damon,Brittany Curran,Aaron Hill,Drama Mystery Thriller,twistedÃÂ            ,Grey Damon Brittany Curran Aaron Hill unknown Drama Mystery Thriller
108,David Cronenberg,Viggo Mortensen,Naomi Watts,Raza Jaffrey,Crime Mystery Thriller,eastern promises,Viggo Mortensen Naomi Watts Raza Jaffrey David Cronenberg Crime Mystery Thriller
109,Jim Sheridan,Naomi Watts,Gregory Smith,Sarah Gadon,Drama Mystery Thriller,dream house,Naomi Watts Gregory Smith Sarah Gadon Jim Sheridan Drama Mystery Thriller
110,Andrzej Bartkowiak,Chris Klein,Robin Shou,Josie Ho,Action Crime Drama Mystery Thriller,street fighter: the legend of chun-li,Chris Klein Robin Shou Josie Ho Andrzej Bartkowiak Action Crime Drama Mystery Thriller
111,Renny Harlin,Lauren Holly,Gilbert Gottfried,David Patrick Kelly,Action Adventure Comedy Crime Music Mystery,the adventures of ford fairlane,Lauren Holly Gilbert Gottfried David Patrick Kelly Renny Harlin Action Adventure Comedy Crime Music Mystery
112,Phillip Noyce,Denzel Washington,Angelina Jolie Pitt,Leland Orser,Crime Drama Mystery Thriller,the bone collector,Denzel Washington Angelina Jolie Pitt Leland Orser Phillip Noyce Crime Drama Mystery Thriller
113,Iain Softley,Kevin Spacey,Jeff Bridges,Alfre Woodard,Drama Mystery Sci-Fi,k-pax,Kevin Spacey Jeff Bridges Alfre Woodard Iain Softley Drama Mystery Sci-Fi
114,Andrei Tarkovsky,Donatas Banionis,Anatoliy Solonitsyn,Natalya Bondarchuk,Drama Mystery Sci-Fi,solaris,Donatas Banionis Anatoliy Solonitsyn Natalya Bondarchuk Andrei Tarkovsky Drama Mystery Sci-Fi
115,Christopher Nolan,Al Pacino,Maura Tierney,Crystal Lowe,Drama Mystery Thriller,insomnia,Al Pacino Maura Tierney Crystal Lowe Christopher Nolan Drama Mystery Thriller
116,Edward Zwick,Denzel Washington,Matt Damon,Scott Glenn,Action Drama Mystery Thriller War,courage under fire,Denzel Washington Matt Damon Scott Glenn Edward Zwick Action Drama Mystery Thriller War
117,Alan J. Pakula,Denzel Washington,Julia Roberts,Tony Goldwyn,Crime Drama Mystery Thriller,the pelican brief,Denzel Washington Julia Roberts Tony Goldwyn Alan J. Pakula Crime Drama Mystery Thriller
118,Joel Schumacher,Bradley Whitford,Anthony LaPaglia,Brad Renfro,Crime Drama Mystery Thriller,the client,Bradley Whitford Anthony LaPaglia Brad Renfro Joel Schumacher Crime Drama Mystery Thriller
119,Denis Villeneuve,Hugh Jackman,Jake Gyllenhaal,Dylan Minnette,Crime Drama Mystery Thriller,prisoners,Hugh Jackman Jake Gyllenhaal Dylan Minnette Denis Villeneuve Crime Drama Mystery Thriller
120,Sean Penn,Costas Mandylor,Adrien Dorval,Nels Lennarson,Crime Drama Mystery Thriller,the pledge,Costas Mandylor Adrien Dorval Nels Lennarson Sean Penn Crime Drama Mystery Thriller
121,Roman Polanski,Jim Belushi,Olivia Williams,Timothy Hutton,Mystery Thriller,the ghost writer,Jim Belushi Olivia Williams Timothy Hutton Roman Polanski Mystery Thriller
122,unknown,Pierre Perrier,Clotilde Hesme,CÃÂ©line Sallette,Drama Fantasy Horror Mystery,the returnedÃÂ            ,Pierre Perrier Clotilde Hesme CÃÂ©line Sallette unknown Drama Fantasy Horror Mystery
123,Andrew Davis,Harrison Ford,Daniel Roebuck,Sela Ward,Action Adventure Crime Drama Mystery Thriller,the fugitive,Harrison Ford Daniel Roebuck Sela Ward Andrew Davis Action Adventure Crime Drama Mystery Thriller
124,Sydney Pollack,Tom Cruise,Holly Hunter,Wilford Brimley,Drama Mystery Thriller,the firm,Tom Cruise Holly Hunter Wilford Brimley Sydney Pollack Drama Mystery Thriller
125,Carl Franklin,Morgan Freeman,Adam Scott,Bruce Davison,Crime Drama Mystery Thriller,high crimes,Morgan Freeman Adam Scott Bruce Davison Carl Franklin Crime Drama Mystery Thriller
126,Mark Pellington,Debra Messing,Will Patton,David Eigenberg,Drama Horror Mystery Thriller,the mothman prophecies,Debra Messing Will Patton David Eigenberg Mark Pellington Drama Horror Mystery Thriller
127,Catherine Hardwicke,Gary Oldman,Billy Burke,Virginia Madsen,Fantasy Horror Mystery Thriller,red riding hood,Gary Oldman Billy Burke Virginia Madsen Catherine Hardwicke Fantasy Horror Mystery Thriller
128,M. Night Shyamalan,Bruce Willis,Haley Joel Osment,Olivia Williams,Drama Mystery Thriller,the sixth sense,Bruce Willis Haley Joel Osment Olivia Williams M. Night Shyamalan Drama Mystery Thriller
129,Bruce Beresford,Bruce Greenwood,Annabeth Gish,Bruce Campbell,Crime Mystery Thriller,double jeopardy,Bruce Greenwood Annabeth Gish Bruce Campbell Bruce Beresford Crime Mystery Thriller
130,James Wan,Javier Botet,Frances O'Connor,Robin Atkin Downes,Horror Mystery Thriller,the conjuring 2,Javier Botet Frances O'Connor Robin Atkin Downes James Wan Horror Mystery Thriller
